timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,MPU_Accel_X,MPU_Accel_Y,MPU_Accel_Z,MPU_Gyro_X,MPU_Gyro_Y,MPU_Gyro_Z
7560.127,-0.2632,9.4181,-3.1346,0.84,-1.26,1.05,0.1914,7.8676,-5.7332,1.05,-1.68,-1.05,-0.0694,-0.1676,8.5736,-1.4122,-0.4427,-0.5878
7648.546,-0.2489,9.4373,-3.1777,0.28,-1.19,0.98,0.1723,7.8724,-5.7141,1.05,-1.68,-1.12,-0.0215,-0.0958,8.588,-1.313,-0.4809,-0.7328
7708.932,-0.2297,9.4277,-3.1155,-0.07,-1.12,1.12,0.1914,7.8628,-5.7523,1.05,-1.75,-1.19,-0.0335,-0.091,8.6024,-1.3588,-0.5802,-0.4656
7798.885,-0.2584,9.4277,-3.1346,0.42,-1.26,1.05,0.1914,7.882,-5.7284,1.12,-1.75,-1.12,-0.0646,-0.1077,8.4539,-1.3053,-0.7023,-0.7557
7859.294,-0.268,9.4086,-3.1298,0.56,-1.26,1.05,0.1866,7.8772,-5.7188,1.05,-1.82,-1.12,-0.0479,-0.1341,8.4898,-1.3053,-0.4656,-0.5649
7949.825,-0.2536,9.4229,-3.1585,0.84,-1.33,1.19,0.1914,7.8676,-5.7332,0.98,-1.61,-1.12,-0.0527,-0.1293,8.5545,-1.3969,-0.771,-0.6107
8040.633,-0.2584,9.4421,-3.125,0.63,-1.19,1.12,0.1914,7.8772,-5.7284,1.05,-1.68,-1.12,-0.0311,-0.1508,8.4946,-1.4962,-0.6336,-0.5878
8101.502,-0.2297,9.4421,-3.1442,0.21,-1.12,0.98,0.1866,7.8628,-5.738,0.98,-1.82,-1.19,-0.0311,-0.1077,8.4467,-1.5573,-0.6031,-0.687
8190.397,-0.2584,9.4421,-3.1394,0.07,-1.19,1.12,0.1866,7.8772,-5.7332,1.05,-1.75,-1.12,-0.0814,-0.0862,8.5425,-1.4809,-0.4809,-0.542
8280.685,-0.2632,9.4229,-3.1537,0.56,-1.26,0.98,0.1771,7.8628,-5.7332,1.05,-1.68,-1.12,-0.0622,-0.1676,8.4659,-1.4962,-0.5038,-0.5496
8340.628,-0.268,9.4181,-3.149,0.63,-1.4,0.98,0.1962,7.8676,-5.7141,1.12,-1.61,-1.05,-0.1077,-0.1101,8.5018,-1.5267,-0.5878,-0.5954
8429.376,-0.2489,9.4373,-3.1298,0.84,-1.19,1.05,0.1819,7.8772,-5.7236,1.05,-1.68,-1.19,-0.0982,-0.0838,8.5425,-1.5038,-0.687,-0.7328
8518.011,-0.2441,9.4373,-3.1107,0.49,-1.33,0.98,0.1866,7.8532,-5.7236,0.98,-1.75,-1.05,-0.0814,-0.0766,8.4324,-1.4275,-0.5573,-0.6947
8579.744,-0.2441,9.4325,-3.149,0.28,-1.26,1.12,0.1771,7.8772,-5.7284,0.91,-1.75,-1.19,0.0,-0.1437,8.4898,-1.3282,-0.5878,-0.5267
8668.317,-0.2584,9.4181,-3.1681,0.56,-1.26,0.98,0.1866,7.8772,-5.738,1.12,-1.82,-1.26,-0.0886,-0.1053,8.4779,-1.5267,-0.5496,-0.5191
8729.893,-0.2536,9.4516,-3.149,0.42,-1.26,1.05,0.1771,7.8915,-5.738,1.05,-1.68,-1.19,0.0048,-0.1437,8.4803,-1.3435,-0.6489,-0.6794
8818.217,-0.2728,9.4086,-3.149,0.7,-1.33,1.05,0.1866,7.858,-5.7093,1.12,-1.68,-1.12,-0.0527,-0.1269,8.521,-1.4656,-0.6107,-0.6947
8910.213,-0.2489,9.4134,-3.1298,0.49,-1.33,0.91,0.1675,7.882,-5.7284,0.98,-1.68,-1.05,-0.0982,-0.1508,8.4707,-1.3893,-0.4046,-0.6718
8968.962,-0.2249,9.4229,-3.1394,0.21,-1.19,0.91,0.1723,7.8724,-5.7332,1.12,-1.75,-1.19,-0.0527,-0.1317,8.5042,-1.3435,-0.687,-0.4809
9058.872,-0.2776,9.4325,-3.1585,-0.07,-1.26,1.12,0.1819,7.882,-5.7188,1.05,-1.68,-1.12,-0.103,-0.0694,8.497,-1.5038,-0.5344,-0.5878
9148.621,-0.2536,9.4181,-3.1394,0.28,-1.19,1.05,0.1723,7.8724,-5.7188,1.05,-1.75,-1.12,-0.1125,-0.1413,8.5425,-1.4504,-0.5115,-0.5496
9209.661,-0.2584,9.4277,-3.1298,0.98,-1.19,1.05,0.1914,7.8724,-5.7284,0.98,-1.68,-1.12,-0.0551,-0.1269,8.5234,-1.3511,-0.7252,-0.7328
9298.924,-0.2536,9.4181,-3.1155,0.84,-1.26,1.19,0.1962,7.8772,-5.7141,1.05,-1.68,-1.12,-0.1508,-0.103,8.4994,-1.542,-0.5267,-0.5954
9388.955,-0.2489,9.4277,-3.1155,0.35,-1.05,1.05,0.1914,7.8724,-5.7284,1.05,-1.61,-1.12,-0.0599,-0.1269,8.4635,-1.2595,-0.6565,-0.6489
9448.269,-0.2632,9.4469,-3.1585,1.4,-1.26,1.05,0.1771,7.8724,-5.7236,1.05,-1.68,-1.05,-0.1125,-0.1963,8.4372,-1.2748,-0.5038,-0.374
9538.164,-0.2632,9.4325,-3.1537,-0.14,-1.26,1.05,0.2393,7.8628,-5.738,1.12,-1.61,-1.19,-0.0239,-0.0359,8.5042,-1.3282,-0.542,-0.6641
9598.777,-0.268,9.4181,-3.1346,0.42,-1.12,1.12,0.2106,7.8724,-5.7284,1.05,-1.75,-1.12,-0.0503,-0.1269,8.5617,-1.5115,-0.5038,-0.5573
9688.283,-0.2489,9.4086,-3.0963,0.35,-1.26,1.12,0.1627,7.8724,-5.7476,1.05,-1.68,-1.19,-0.0742,-0.103,8.5952,-1.3664,-0.5344,-0.5725
9778.63,-0.2489,9.4134,-3.1155,-0.42,-1.19,1.19,0.1675,7.8724,-5.7188,0.91,-1.75,-1.12,-0.0239,-0.079,8.521,-1.3435,-0.916,-0.6565
